Name,Batch,Category,Quantity,Purchase Price,Selling Price,Expiry Date,Days Left,Status
Paracetamol 500mg,PCM-2025-001,Analgesic,50,12.00,18.00,2026-05-05,19,EXPIRING
Amoxicillin 500mg,AMX-2025-012,Antibiotic,30,25.00,40.00,2026-04-25,9,EXPIRING
Metformin 500mg,MET-2025-045,Diabetic,200,8.00,15.00,2026-10-12,179,ACTIVE
Atorvastatin 10mg,ATV-2025-078,Cardiac,150,18.00,30.00,2027-02-09,299,ACTIVE
ORS Powder,ORS-2025-033,Antacid,80,5.00,10.00,2026-05-30,44,ACTIVE
Hep B Vaccine,HBV-2025-007,Vaccine,20,150.00,250.00,2026-06-14,59,ACTIVE
Warfarin 5mg,WRF-2025-019,Cardiac,60,22.00,35.00,2026-07-14,89,ACTIVE
Azithromycin 500mg,AZM-2025-055,Antibiotic,45,30.00,50.00,2026-05-10,24,EXPIRING
Cetirizine 10mg,CTZ-2025-090,Antihistamine,300,6.00,12.00,2027-04-15,364,ACTIVE
Pantoprazole 40mg,PNT-2025-022,Antacid,100,10.00,20.00,2026-04-20,4,EXPIRING
Metronidazole 400mg,MTZ-2025-061,Antibiotic,70,14.00,22.00,2026-04-30,14,EXPIRING
Amlodipine 5mg,AML-2025-044,Cardiac,120,15.00,25.00,2026-12-11,239,ACTIVE
Omeprazole 20mg,OMP-2025-038,Antacid,90,9.00,16.00,2026-08-13,119,ACTIVE
Vitamin D3 1000IU,VTD-2025-015,Vitamin,250,7.00,14.00,2027-05-20,399,ACTIVE
Ibuprofen 400mg,IBU-2025-027,Analgesic,160,10.00,18.00,2026-05-20,34,ACTIVE
